source_type,layer,x1,y1,z1,x2,y2,z2
LWPOLYLINE,STPM_RBEAM_SIG,754569.3427018381,-131372.2306548749,0.0,754431.7965354029,-131084.2426420036,0.0
LWPOLYLINE,STPM_RBEAM_SIG,750380.9767707209,-122602.8173521103,0.0,750243.4306042857,-122314.829339239,0.0
LWPOLYLINE,S123-BEAM-GL,749630.2187626672,-121417.2847874474,0.0,745882.5484856946,-117419.7752066691,0.0
LWPOLYLINE,STPM_RBEAM_SIG,749630.2187626672,-121417.2847874474,0.0,749411.9395225926,-121184.4539114644,0.0
LWPOLYLINE,STPM_RBEAM_SIG,746100.8277257693,-117652.6060826521,0.0,745882.5484856946,-117419.7752066691,0.0
LWPOLYLINE,S123-BEAM-GL,745506.3805952995,-116368.5299970583,0.0,745506.3805952995,-111118.5299970574,0.0
LWPOLYLINE,STPM_RBEAM_SIG,745506.3805952995,-116368.5299970583,0.0,745506.3805952995,-116049.381060888,0.0
LWPOLYLINE,S123-BEAM-GL,750006.398768502,-116918.5299970583,0.0,746056.3927107959,-116918.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,746375.5416469662,-116918.5299970582,0.0,746056.3927107959,-116918.5299970582,0.0
LWPOLYLINE,S123-BEAM-GL,750006.3927107959,-117168.5299970582,0.0,750006.387333012,-121268.5299970587,0.0
LWPOLYLINE,STPM_RBEAM_SIG,750006.3877275668,-120949.3810608887,0.0,750006.387333012,-121268.5299970587,0.0
LWPOLYLINE,STPM_RBEAM_SIG,744956.3805952995,-116918.5299970582,0.0,744637.2316591291,-116918.5299970582,0.0
LWPOLYLINE,STPM_RBEAM_SIG,744956.3927107959,-121818.5302382062,0.0,744637.2437746259,-121818.5303781378,0.0
LWPOLYLINE,STPM_RBEAM_SIG,744956.3866530336,-125818.5355215603,0.0,744637.2377168633,-125818.5355215603,0.0
LWPOLYLINE,S123-BEAM-GL,759656.4018031362,-126318.5209047173,0.0,755156.392710796,-126318.5209047173,0.0
LWPOLYLINE,STPM_RBEAM_SIG,759656.4018031362,-126318.5209047173,0.0,759337.2528669658,-126318.5209047173,0.0
LWPOLYLINE,S123-BEAM-GL,724206.4062500285,-67625.01499852969,0.0,733456.3927107677,-67625.01499852969,0.0
LWPOLYLINE,STPM_RBEAM_SIG,724206.4062500285,-67625.01499852969,0.0,724525.5551861987,-67625.01499852969,0.0
LWPOLYLINE,S123-BEAM-GL,732916.0192079277,-61827.34643615585,0.0,733898.5304625231,-67174.0627016102,0.0
LWPOLYLINE,STPM_RBEAM_SIG,732916.0192079277,-61827.34643615585,0.0,732965.5268704128,-62142.6320761933,0.0
LWPOLYLINE,S123-BEAM-GL,724206.4062500285,-78725.01499852887,0.0,733456.3927107677,-78725.01499852887,0.0
LWPOLYLINE,STPM_RBEAM_SIG,723506.3941345603,-68544.1639346999,0.0,723506.3941345603,-68225.01499852969,0.0
